new_time,year,month,day,time
1741-01-01,1741,January,1,1741-01-01
1741-01-08,1741,January,8,1741-01-08
1741-01-15,1741,January,15,1741-01-15
1741-01-22,1741,January,22,1741-01-22
1741-01-29,1741,January,29,1741-01-29
1741-02-05,1741,February,5,1741-02-01
1741-02-12,1741,February,12,1741-02-12
1741-02-19,1741,February,19,1741-02-19
1741-02-26,1741,February,26,1741-02-26
1741-03-05,1741,March,5,1741-03-01
1741-03-12,1741,March,12,1741-03-12
1741-03-19,1741,March,19,1741-03-19
1741-03-26,1741,March,26,1741-03-26
1741-04-02,1741,April,2,1741-04-01
1741-04-09,1741,April,9,1741-04-09
1741-04-16,1741,April,16,1741-04-16
1741-04-23,1741,April,23,1741-04-23
1741-04-30,1741,April,30,1741-04-30
1741-05-07,1741,May,7,1741-05-01
1741-05-14,1741,May,14,1741-05-14
1741-05-21,1741,May,21,1741-05-21
1741-05-28,1741,May,28,1741-05-28
1741-06-04,1741,June,4,1741-06-01
1741-06-11,1741,June,11,1741-06-11
1741-06-18,1741,June,18,1741-06-18
1741-06-25,1741,June,25,1741-06-25
1741-07-02,1741,July,2,1741-07-01
1741-07-09,1741,July,9,1741-07-09
1741-07-16,1741,July,16,1741-07-16
1741-07-23,1741,July,23,1741-07-23
1741-07-30,1741,July,30,1741-07-30
1741-08-06,1741,August,6,1741-08-01
1741-08-13,1741,August,13,1741-08-13
1741-08-20,1741,August,20,1741-08-20
1741-08-27,1741,August,27,1741-08-27
1741-09-03,1741,September,3,1741-09-01
1741-09-10,1741,September,10,1741-09-10
1741-09-17,1741,September,17,1741-09-17
1741-09-24,1741,September,24,1741-09-24
1741-10-01,1741,October,1,1741-10-01
1741-10-08,1741,October,8,1741-10-08
1741-10-15,1741,October,15,1741-10-15
1741-10-22,1741,October,22,1741-10-22
1741-10-29,1741,October,29,1741-10-29
1741-11-05,1741,November,5,1741-11-01
1741-11-12,1741,November,12,1741-11-12
1741-11-19,1741,November,19,1741-11-19
1741-11-26,1741,November,26,1741-11-26
1741-12-03,1741,December,3,1741-12-01
1741-12-10,1741,December,10,1741-12-10
1741-12-17,1741,December,17,1741-12-17
1741-12-24,1741,December,24,1741-12-24
1741-12-31,1741,December,31,1741-12-31
1742-01-07,1742,January,7,1742-01-01
1742-01-14,1742,January,14,1742-01-14
1742-01-21,1742,January,21,1742-01-21
1742-01-28,1742,January,28,1742-01-28
1742-02-04,1742,February,4,1742-02-01
1742-02-11,1742,February,11,1742-02-11
1742-02-18,1742,February,18,1742-02-18
1742-02-25,1742,February,25,1742-02-25
1742-03-04,1742,March,4,1742-03-01
1742-03-11,1742,March,11,1742-03-11
1742-03-18,1742,March,18,1742-03-18
1742-03-25,1742,March,25,1742-03-25
1742-04-01,1742,April,1,1742-04-01
1742-04-08,1742,April,8,1742-04-08
1742-04-15,1742,April,15,1742-04-15
1742-04-22,1742,April,22,1742-04-22
1742-04-29,1742,April,29,1742-04-29
1742-05-06,1742,May,6,1742-05-01
1742-05-13,1742,May,13,1742-05-13
1742-05-20,1742,May,20,1742-05-20
1742-05-27,1742,May,27,1742-05-27
1742-06-03,1742,June,3,1742-06-01
1742-06-10,1742,June,10,1742-06-10
1742-06-17,1742,June,17,1742-06-17
1742-06-24,1742,June,24,1742-06-24
1742-07-01,1742,July,1,1742-07-01
1742-07-08,1742,July,8,1742-07-08
1742-07-15,1742,July,15,1742-07-15
1742-07-22,1742,July,22,1742-07-22
1742-07-29,1742,July,29,1742-07-29
1742-08-05,1742,August,5,1742-08-01
1742-08-12,1742,August,12,1742-08-12
1742-08-19,1742,August,19,1742-08-19
1742-08-26,1742,August,26,1742-08-26
1742-09-02,1742,September,2,1742-09-01
