"time","year","month","day"
1841-01-01,1841,"January",1
1841-01-08,1841,"January",8
1841-01-15,1841,"January",15
1841-01-22,1841,"January",22
1841-01-29,1841,"January",29
1841-02-01,1841,"February",5
1841-02-12,1841,"February",12
1841-02-19,1841,"February",19
1841-02-26,1841,"February",26
1841-03-01,1841,"March",5
1841-03-12,1841,"March",12
1841-03-19,1841,"March",19
1841-03-26,1841,"March",26
1841-04-01,1841,"April",2
1841-04-09,1841,"April",9
1841-04-16,1841,"April",16
1841-04-23,1841,"April",23
1841-04-30,1841,"April",30
1841-05-01,1841,"May",7
1841-05-14,1841,"May",14
1841-05-21,1841,"May",21
1841-05-28,1841,"May",28
1841-06-01,1841,"June",4
1841-06-11,1841,"June",11
1841-06-18,1841,"June",18
1841-06-25,1841,"June",25
1841-07-01,1841,"July",2
1841-07-09,1841,"July",9
1841-07-16,1841,"July",16
1841-07-23,1841,"July",23
1841-07-30,1841,"July",30
1841-08-01,1841,"August",6
1841-08-13,1841,"August",13
1841-08-20,1841,"August",20
1841-08-27,1841,"August",27
1841-09-01,1841,"September",3
1841-09-10,1841,"September",10
1841-09-17,1841,"September",17
1841-09-24,1841,"September",24
1841-10-01,1841,"October",1
1841-10-08,1841,"October",8
1841-10-15,1841,"October",15
1841-10-22,1841,"October",22
1841-10-29,1841,"October",29
1841-11-01,1841,"November",5
1841-11-12,1841,"November",12
1841-11-19,1841,"November",19
1841-11-26,1841,"November",26
1841-12-01,1841,"December",3
1841-12-10,1841,"December",10
1841-12-17,1841,"December",17
1841-12-24,1841,"December",24
1841-12-31,1841,"December",31
1842-01-01,1842,"January",7
1842-01-14,1842,"January",14
1842-01-21,1842,"January",21
1842-01-28,1842,"January",28
1842-02-01,1842,"February",4
1842-02-11,1842,"February",11
1842-02-18,1842,"February",18
1842-02-25,1842,"February",25
1842-03-01,1842,"March",4
1842-03-11,1842,"March",11
1842-03-18,1842,"March",18
1842-03-25,1842,"March",25
1842-04-01,1842,"April",1
1842-04-08,1842,"April",8
1842-04-15,1842,"April",15
1842-04-22,1842,"April",22
1842-04-29,1842,"April",29
1842-05-01,1842,"May",6
1842-05-13,1842,"May",13
1842-05-20,1842,"May",20
1842-05-27,1842,"May",27
1842-06-01,1842,"June",3
1842-06-10,1842,"June",10
1842-06-17,1842,"June",17
1842-06-24,1842,"June",24
1842-07-01,1842,"July",1
1842-07-08,1842,"July",8
1842-07-15,1842,"July",15
1842-07-22,1842,"July",22
1842-07-29,1842,"July",29
1842-08-01,1842,"August",5
1842-08-12,1842,"August",12
1842-08-19,1842,"August",19
1842-08-26,1842,"August",26
1842-09-01,1842,"September",2
1842-09-09,1842,"September",9
1842-09-16,1842,"September",16
1842-09-23,1842,"September",23
1842-09-30,1842,"September",30
1842-10-01,1842,"October",7
1842-10-14,1842,"October",14
1842-10-21,1842,"October",21
1842-10-28,1842,"October",28
1842-11-01,1842,"November",4
1842-11-11,1842,"November",11
1842-11-18,1842,"November",18
1842-11-25,1842,"November",25
1842-12-01,1842,"December",2
1842-12-09,1842,"December",9
1842-12-16,1842,"December",16
1842-12-23,1842,"December",23
1842-12-30,1842,"December",30
1843-01-01,1843,"January",6
1843-01-13,1843,"January",13
1843-01-20,1843,"January",20
1843-01-27,1843,"January",27
1843-02-01,1843,"February",3
1843-02-10,1843,"February",10
1843-02-17,1843,"February",17
1843-02-24,1843,"February",24
1843-03-01,1843,"March",3
1843-03-10,1843,"March",10
1843-03-17,1843,"March",17
1843-03-24,1843,"March",24
1843-03-31,1843,"March",31
1843-04-01,1843,"April",7
1843-04-14,1843,"April",14
1843-04-21,1843,"April",21
1843-04-28,1843,"April",28
1843-05-01,1843,"May",5
1843-05-12,1843,"May",12
1843-05-19,1843,"May",19
1843-05-26,1843,"May",26
1843-06-01,1843,"June",2
1843-06-09,1843,"June",9
1843-06-16,1843,"June",16
1843-06-23,1843,"June",23
1843-06-30,1843,"June",30
1843-07-01,1843,"July",7
1843-07-14,1843,"July",14
1843-07-21,1843,"July",21
1843-07-28,1843,"July",28
1843-08-01,1843,"August",4
1843-08-11,1843,"August",11
1843-08-18,1843,"August",18
1843-08-25,1843,"August",25
1843-09-01,1843,"September",1
1843-09-08,1843,"September",8
1843-09-15,1843,"September",15
1843-09-22,1843,"September",22
1843-09-29,1843,"September",29
1843-10-01,1843,"October",6
1843-10-13,1843,"October",13
1843-10-20,1843,"October",20
1843-10-27,1843,"October",27
1843-11-01,1843,"November",3
1843-11-10,1843,"November",10
1843-11-17,1843,"November",17
1843-11-24,1843,"November",24
1843-12-01,1843,"December",1
1843-12-08,1843,"December",8
1843-12-15,1843,"December",15
1843-12-22,1843,"December",22
1843-12-29,1843,"December",29
1844-01-01,1844,"January",5
1844-01-12,1844,"January",12
1844-01-19,1844,"January",19
1844-01-26,1844,"January",26
1844-02-01,1844,"February",2
1844-02-09,1844,"February",9
1844-02-16,1844,"February",16
1844-02-23,1844,"February",23
1844-03-01,1844,"March",1
1844-03-08,1844,"March",8
1844-03-15,1844,"March",15
1844-03-22,1844,"March",22
1844-03-29,1844,"March",29
1844-04-01,1844,"April",5
1844-04-12,1844,"April",12
1844-04-19,1844,"April",19
1844-04-26,1844,"April",26
1844-05-01,1844,"May",3
1844-05-10,1844,"May",10
1844-05-17,1844,"May",17
1844-05-24,1844,"May",24
1844-05-31,1844,"May",31
1844-06-01,1844,"June",7
1844-06-14,1844,"June",14
1844-06-21,1844,"June",21
1844-06-28,1844,"June",28
1844-07-01,1844,"July",5
1844-07-12,1844,"July",12
1844-07-19,1844,"July",19
1844-07-26,1844,"July",26
1844-08-01,1844,"August",2
1844-08-09,1844,"August",9
1844-08-16,1844,"August",16
1844-08-23,1844,"August",23
1844-08-30,1844,"August",30
1844-09-01,1844,"September",6
1844-09-13,1844,"September",13
1844-09-20,1844,"September",20
1844-09-27,1844,"September",27
1844-10-01,1844,"October",4
1844-10-11,1844,"October",11
1844-10-18,1844,"October",18
1844-10-25,1844,"October",25
1844-11-01,1844,"November",1
1844-11-08,1844,"November",8
1844-11-15,1844,"November",15
1844-11-22,1844,"November",22
1844-11-29,1844,"November",29
1844-12-01,1844,"December",6
1844-12-13,1844,"December",13
1844-12-20,1844,"December",20
1844-12-27,1844,"December",27
1845-01-01,1845,"January",3
1845-01-10,1845,"January",10
1845-01-17,1845,"January",17
1845-01-24,1845,"January",24
1845-01-31,1845,"January",31
1845-02-01,1845,"February",7
1845-02-14,1845,"February",14
1845-02-21,1845,"February",21
1845-02-28,1845,"February",28
1845-03-01,1845,"March",7
1845-03-14,1845,"March",14
1845-03-21,1845,"March",21
1845-03-28,1845,"March",28
1845-04-01,1845,"April",4
1845-04-11,1845,"April",11
1845-04-18,1845,"April",18
1845-04-25,1845,"April",25
1845-05-01,1845,"May",2
1845-05-09,1845,"May",9
1845-05-16,1845,"May",16
1845-05-23,1845,"May",23
1845-05-30,1845,"May",30
1845-06-01,1845,"June",6
1845-06-13,1845,"June",13
1845-06-20,1845,"June",20
1845-06-27,1845,"June",27
1845-07-01,1845,"July",4
1845-07-11,1845,"July",11
1845-07-18,1845,"July",18
1845-07-25,1845,"July",25
1845-08-01,1845,"August",1
1845-08-08,1845,"August",8
1845-08-15,1845,"August",15
1845-08-22,1845,"August",22
1845-08-29,1845,"August",29
1845-09-01,1845,"September",5
1845-09-12,1845,"September",12
1845-09-19,1845,"September",19
1845-09-26,1845,"September",26
1845-10-01,1845,"October",3
1845-10-10,1845,"October",10
1845-10-17,1845,"October",17
1845-10-24,1845,"October",24
1845-10-31,1845,"October",31
1845-11-01,1845,"November",7
1845-11-14,1845,"November",14
1845-11-21,1845,"November",21
1845-11-28,1845,"November",28
1845-12-01,1845,"December",5
1845-12-12,1845,"December",12
1845-12-19,1845,"December",19
1845-12-26,1845,"December",26
1846-01-01,1846,"January",2
1846-01-09,1846,"January",9
1846-01-16,1846,"January",16
1846-01-23,1846,"January",23
1846-01-30,1846,"January",30
1846-02-01,1846,"February",6
1846-02-13,1846,"February",13
1846-02-20,1846,"February",20
1846-02-27,1846,"February",27
1846-03-01,1846,"March",6
1846-03-13,1846,"March",13
1846-03-20,1846,"March",20
1846-03-27,1846,"March",27
1846-04-01,1846,"April",3
1846-04-10,1846,"April",10
1846-04-17,1846,"April",17
1846-04-24,1846,"April",24
1846-05-01,1846,"May",1
1846-05-08,1846,"May",8
1846-05-15,1846,"May",15
1846-05-22,1846,"May",22
1846-05-29,1846,"May",29
1846-06-01,1846,"June",5
1846-06-12,1846,"June",12
1846-06-19,1846,"June",19
1846-06-26,1846,"June",26
1846-07-01,1846,"July",3
1846-07-10,1846,"July",10
1846-07-17,1846,"July",17
1846-07-24,1846,"July",24
1846-07-31,1846,"July",31
1846-08-01,1846,"August",7
1846-08-14,1846,"August",14
1846-08-21,1846,"August",21
1846-08-28,1846,"August",28
1846-09-01,1846,"September",4
1846-09-11,1846,"September",11
1846-09-18,1846,"September",18
1846-09-25,1846,"September",25
1846-10-01,1846,"October",2
1846-10-09,1846,"October",9
1846-10-16,1846,"October",16
1846-10-23,1846,"October",23
1846-10-30,1846,"October",30
1846-11-01,1846,"November",6
1846-11-13,1846,"November",13
1846-11-20,1846,"November",20
1846-11-27,1846,"November",27
1846-12-01,1846,"December",4
1846-12-11,1846,"December",11
1846-12-18,1846,"December",18
1846-12-25,1846,"December",25
1847-01-01,1847,"January",1
1847-01-08,1847,"January",8
1847-01-15,1847,"January",15
1847-01-22,1847,"January",22
1847-01-29,1847,"January",29
1847-02-01,1847,"February",5
1847-02-12,1847,"February",12
1847-02-19,1847,"February",19
1847-02-26,1847,"February",26
1847-03-01,1847,"March",5
1847-03-12,1847,"March",12
1847-03-19,1847,"March",19
1847-03-26,1847,"March",26
1847-04-01,1847,"April",2
1847-04-09,1847,"April",9
1847-04-16,1847,"April",16
1847-04-23,1847,"April",23
1847-04-30,1847,"April",30
1847-05-01,1847,"May",7
1847-05-14,1847,"May",14
1847-05-21,1847,"May",21
1847-05-28,1847,"May",28
1847-06-01,1847,"June",4
1847-06-11,1847,"June",11
1847-06-18,1847,"June",18
1847-06-25,1847,"June",25
1847-07-01,1847,"July",2
1847-07-09,1847,"July",9
1847-07-16,1847,"July",16
1847-07-23,1847,"July",23
1847-07-30,1847,"July",30
1847-08-01,1847,"August",6
1847-08-13,1847,"August",13
1847-08-20,1847,"August",20
1847-08-27,1847,"August",27
1847-09-01,1847,"September",3
1847-09-10,1847,"September",10
1847-09-17,1847,"September",17
1847-09-24,1847,"September",24
1847-10-01,1847,"October",1
1847-10-08,1847,"October",8
1847-10-15,1847,"October",15
1847-10-22,1847,"October",22
1847-10-29,1847,"October",29
1847-11-01,1847,"November",5
1847-11-12,1847,"November",12
1847-11-19,1847,"November",19
1847-11-26,1847,"November",26
1847-12-01,1847,"December",3
1847-12-10,1847,"December",10
1847-12-17,1847,"December",17
1847-12-24,1847,"December",24
1847-12-31,1847,"December",31
1848-01-01,1848,"January",7
1848-01-14,1848,"January",14
1848-01-21,1848,"January",21
1848-01-28,1848,"January",28
1848-02-01,1848,"February",4
1848-02-11,1848,"February",11
1848-02-18,1848,"February",18
1848-02-25,1848,"February",25
1848-03-01,1848,"March",3
1848-03-10,1848,"March",10
1848-03-17,1848,"March",17
1848-03-24,1848,"March",24
1848-03-31,1848,"March",31
1848-04-01,1848,"April",7
1848-04-14,1848,"April",14
1848-04-21,1848,"April",21
1848-04-28,1848,"April",28
1848-05-01,1848,"May",5
1848-05-12,1848,"May",12
1848-05-19,1848,"May",19
1848-05-26,1848,"May",26
1848-06-01,1848,"June",2
1848-06-09,1848,"June",9
1848-06-16,1848,"June",16
1848-06-23,1848,"June",23
1848-06-30,1848,"June",30
1848-07-01,1848,"July",7
1848-07-14,1848,"July",14
1848-07-21,1848,"July",21
1848-07-28,1848,"July",28
1848-08-01,1848,"August",4
1848-08-11,1848,"August",11
1848-08-18,1848,"August",18
1848-08-25,1848,"August",25
1848-09-01,1848,"September",1
1848-09-08,1848,"September",8
1848-09-15,1848,"September",15
1848-09-22,1848,"September",22
1848-09-29,1848,"September",29
1848-10-01,1848,"October",6
1848-10-13,1848,"October",13
1848-10-20,1848,"October",20
1848-10-27,1848,"October",27
1848-11-01,1848,"November",3
1848-11-10,1848,"November",10
1848-11-17,1848,"November",17
1848-11-24,1848,"November",24
1848-12-01,1848,"December",1
1848-12-08,1848,"December",8
1848-12-15,1848,"December",15
1848-12-22,1848,"December",22
1848-12-29,1848,"December",29
1849-01-01,1849,"January",5
1849-01-12,1849,"January",12
1849-01-19,1849,"January",19
1849-01-26,1849,"January",26
1849-02-01,1849,"February",2
1849-02-09,1849,"February",9
1849-02-16,1849,"February",16
1849-02-23,1849,"February",23
1849-03-01,1849,"March",2
1849-03-09,1849,"March",9
1849-03-16,1849,"March",16
1849-03-23,1849,"March",23
1849-03-30,1849,"March",30
1849-04-01,1849,"April",6
1849-04-13,1849,"April",13
1849-04-20,1849,"April",20
1849-04-27,1849,"April",27
1849-05-01,1849,"May",4
1849-05-11,1849,"May",11
1849-05-18,1849,"May",18
1849-05-25,1849,"May",25
1849-06-01,1849,"June",1
1849-06-08,1849,"June",8
1849-06-15,1849,"June",15
1849-06-22,1849,"June",22
1849-06-29,1849,"June",29
1849-07-01,1849,"July",6
1849-07-13,1849,"July",13
1849-07-20,1849,"July",20
1849-07-27,1849,"July",27
1849-08-01,1849,"August",3
1849-08-10,1849,"August",10
1849-08-17,1849,"August",17
1849-08-24,1849,"August",24
1849-08-31,1849,"August",31
1849-09-01,1849,"September",7
1849-09-14,1849,"September",14
1849-09-21,1849,"September",21
1849-09-28,1849,"September",28
1849-10-01,1849,"October",5
1849-10-12,1849,"October",12
1849-10-19,1849,"October",19
1849-10-26,1849,"October",26
1849-11-01,1849,"November",2
1849-11-09,1849,"November",9
1849-11-16,1849,"November",16
1849-11-23,1849,"November",23
1849-11-30,1849,"November",30
1849-12-01,1849,"December",7
1849-12-14,1849,"December",14
1849-12-21,1849,"December",21
1849-12-28,1849,"December",28
1850-01-01,1850,"January",4
1850-01-11,1850,"January",11
1850-01-18,1850,"January",18
1850-01-25,1850,"January",25
1850-02-01,1850,"February",1
1850-02-08,1850,"February",8
1850-02-15,1850,"February",15
1850-02-22,1850,"February",22
1850-03-01,1850,"March",1
1850-03-08,1850,"March",8
1850-03-15,1850,"March",15
1850-03-22,1850,"March",22
1850-03-29,1850,"March",29
1850-04-01,1850,"April",5
1850-04-12,1850,"April",12
1850-04-19,1850,"April",19
1850-04-26,1850,"April",26
1850-05-01,1850,"May",3
1850-05-10,1850,"May",10
1850-05-17,1850,"May",17
1850-05-24,1850,"May",24
1850-05-31,1850,"May",31
1850-06-01,1850,"June",7
1850-06-14,1850,"June",14
1850-06-21,1850,"June",21
1850-06-28,1850,"June",28
1850-07-01,1850,"July",5
1850-07-12,1850,"July",12
1850-07-19,1850,"July",19
1850-07-26,1850,"July",26
1850-08-01,1850,"August",2
1850-08-09,1850,"August",9
1850-08-16,1850,"August",16
1850-08-23,1850,"August",23
1850-08-30,1850,"August",30
1850-09-01,1850,"September",6
1850-09-13,1850,"September",13
1850-09-20,1850,"September",20
1850-09-27,1850,"September",27
1850-10-01,1850,"October",4
1850-10-11,1850,"October",11
1850-10-18,1850,"October",18
1850-10-25,1850,"October",25
1850-11-01,1850,"November",1
1850-11-08,1850,"November",8
1850-11-15,1850,"November",15
1850-11-22,1850,"November",22
1850-11-29,1850,"November",29
1850-12-01,1850,"December",6
1850-12-13,1850,"December",13
1850-12-20,1850,"December",20
1850-12-27,1850,"December",27
1851-01-01,1851,"January",3
1851-01-10,1851,"January",10
1851-01-17,1851,"January",17
1851-01-24,1851,"January",24
1851-01-31,1851,"January",31
1851-02-01,1851,"February",7
1851-02-14,1851,"February",14
1851-02-21,1851,"February",21
1851-02-28,1851,"February",28
1851-03-01,1851,"March",7
1851-03-14,1851,"March",14
1851-03-21,1851,"March",21
1851-03-28,1851,"March",28
1851-04-01,1851,"April",4
1851-04-11,1851,"April",11
1851-04-18,1851,"April",18
1851-04-25,1851,"April",25
1851-05-01,1851,"May",2
1851-05-09,1851,"May",9
1851-05-16,1851,"May",16
1851-05-23,1851,"May",23
1851-05-30,1851,"May",30
1851-06-01,1851,"June",6
1851-06-13,1851,"June",13
1851-06-20,1851,"June",20
1851-06-27,1851,"June",27
1851-07-01,1851,"July",4
